# Type3arabi seed transliteration rules — human-reviewed prior for EM (docs/03 §4, docs/04 §6).
# Columns (TAB-separated): latin  arabic  weight  pos  dialects  flags  note
#   latin    : 1-4 symbols; uppercase T S D Z H are the emphatic symbols (docs/03 §3); ' is a symbol.
#   arabic   : 0-3 Arabic letters; "ε" = nothing (a short vowel).
#   weight   : seed estimate of P(arabic | latin, pos, dialect). The loader normalizes each group to sum 1.
#   pos      : any combination of I (initial), M (medial), F (final), or * (= IMF).
#   dialects : * or comma list of MSA,LEV,EGY,GLF,IRQ,MAG.
#   flags    : - or comma list of VOWEL, GEM, TANWEEN, ARTICLE.
# Resolution ("most specific wins"): for chunk ℓ at position p in dialect d, use rows whose pos lists p
# explicitly if any exist, else rows with pos *; within those, rows naming d explicitly if any exist, else
# rows with dialect *. Gemination (bb, ll, 77 ...) is generic in the engine (docs/03 §4.3) — not listed here.
latin	arabic	weight	pos	dialects	flags	note
a	أ	0.40	I	*	VOWEL	initial a: hamza-alif, or dropped 3 (ali=علي)
a	ا	0.30	I	*	VOWEL	initial a: hamza-alif, or dropped 3 (ali=علي)
a	ع	0.15	I	*	VOWEL	initial a: hamza-alif, or dropped 3 (ali=علي)
a	إ	0.05	I	*	VOWEL	initial a: hamza-alif, or dropped 3 (ali=علي)
a	آ	0.05	I	*	VOWEL	initial a: hamza-alif, or dropped 3 (ali=علي)
a	ε	0.60	M	*	VOWEL	
a	ا	0.35	M	*	VOWEL	
a	ع	0.05	M	*	VOWEL	
a	ا	0.45	F	*	VOWEL	
a	ة	0.30	F	*	VOWEL	
a	ى	0.10	F	*	VOWEL	
a	ه	0.10	F	*	VOWEL	
a	ε	0.05	F	*	VOWEL	
aa	آ	0.45	I	*	VOWEL	
aa	أ	0.25	I	*	VOWEL	
aa	ا	0.20	I	*	VOWEL	
aa	عا	0.10	I	*	VOWEL	
aa	ا	0.90	M	*	VOWEL	
aa	ع	0.10	M	*	VOWEL	
aa	ا	0.70	F	*	VOWEL	
aa	اء	0.15	F	*	VOWEL	
aa	ى	0.10	F	*	VOWEL	
aa	ع	0.05	F	*	VOWEL	
e	إ	0.35	I	*	VOWEL	
e	ا	0.30	I	*	VOWEL	
e	أ	0.15	I	*	VOWEL	
e	ع	0.20	I	*	VOWEL	
e	ε	0.75	M	*	VOWEL	
e	ي	0.20	M	*	VOWEL	
e	ا	0.05	M	*	VOWEL	
e	ة	0.35	F	*	VOWEL	
e	ي	0.30	F	*	VOWEL	
e	ه	0.20	F	*	VOWEL	
e	ى	0.10	F	*	VOWEL	
e	ε	0.05	F	*	VOWEL	
ee	إي	0.50	I	*	VOWEL	
ee	عي	0.30	I	*	VOWEL	
ee	أي	0.20	I	*	VOWEL	
ee	ي	1.00	M	*	VOWEL	
ee	ي	0.95	F	*	VOWEL	
ee	ى	0.05	F	*	VOWEL	
i	إ	0.45	I	*	VOWEL	
i	ا	0.30	I	*	VOWEL	
i	ع	0.20	I	*	VOWEL	
i	ي	0.05	I	*	VOWEL	
i	ي	0.55	M	*	VOWEL	
i	ε	0.45	M	*	VOWEL	
i	ي	0.95	F	*	VOWEL	
i	ى	0.05	F	*	VOWEL	
ii	ي	1.00	MF	*	VOWEL	
o	أ	0.40	I	*	VOWEL	
o	ع	0.30	I	*	VOWEL	
o	ا	0.15	I	*	VOWEL	
o	أو	0.10	I	*	VOWEL	
o	و	0.05	I	*	VOWEL	
o	و	0.50	M	*	VOWEL	
o	ε	0.50	M	*	VOWEL	
o	ه	0.50	F	*	VOWEL	final o is often the pronoun ه (3ando=عنده)
o	و	0.45	F	*	VOWEL	final o is often the pronoun ه (3ando=عنده)
o	ε	0.05	F	*	VOWEL	final o is often the pronoun ه (3ando=عنده)
